GPA,AttendanceRate,AssignmentsCompleted,FailedCourses,CreditHoursEnrolled,StudyHoursPerWeek,LibraryVisitsMonth,FinancialAidStatus,FirstGenStudent,SemesterNumber,GPATrend,ExtracurricularCount,DropoutRisk
1.6980279227535005,68.2654694401956,77.57575890829301,1,13.383821143125877,17.065153802224057,1,No,No,3,Stable,2,AT RISK
2.564171954900361,90.0,87.59718456144806,1,13.704872184522628,14.161396034769155,4,Yes,Yes,6,Stable,0,AT RISK
3.520618936933445,95.72311317411565,83.12898260589904,0,12.510366621782905,22.35095937293499,9,Yes,No,2,Improving,4,LOW RISK
4.0,98.50531853444018,96.98986538888776,1,17.031028713557284,15.089310580575104,7,Yes,Yes,8,Stable,0,LOW RISK
3.139359860957673,82.6254170442711,87.50153536858637,0,17.28927947604249,13.850937036149087,10,No,No,6,Improving,3,LOW RISK
2.348490298086302,66.39445430285798,58.298179002626426,0,14.980343497863673,12.510847040455335,1,Yes,No,4,Declining,1,AT RISK
3.606019074522419,96.79029287901464,89.06392096694718,0,14.70907589933602,12.743416582179133,7,Yes,No,5,Stable,1,LOW RISK
2.0419131423389776,80.46159262740284,92.0,0,14.813975438705803,11.842541780860234,4,Yes,Yes,1,Stable,0,AT RISK
2.777206363427095,66.9996132345072,74.41212775028002,1,15.668669627676714,17.06538986319679,6,Yes,Yes,7,Stable,1,AT RISK
3.8478299645738305,93.95155219479444,88.41027812369171,0,16.033336398737443,18.037860776090728,12,No,No,2,Improving,5,LOW RISK
2.4203354106439354,75.41234371683427,81.00072696326241,3,11.133591619325223,7.562247252818756,1,Yes,Yes,2,Stable,1,AT RISK
1.5,77.99211171146366,79.69901396442641,4,7.103839644481337,15.612678793819379,2,No,No,1,Stable,1,AT RISK
2.3382543708904464,59.14912030133474,80.50231509449546,2,14.867647069560308,13.08638064141003,6,Yes,Yes,6,Improving,0,AT RISK
2.122509876452646,71.34546021577829,76.34359690728982,2,14.094880657449389,15.653128531176835,2,Yes,No,5,Declining,2,AT RISK
3.0641112631276894,93.50060111055582,92.20341518338566,1,14.726368504271374,24.333909108998398,6,No,No,8,Improving,3,LOW RISK
3.4050369603127177,100.0,94.0956353062246,0,15.391900026197849,14.084743015675443,8,Yes,No,8,Improving,1,LOW RISK
3.3735680805410735,99.29597888341053,90.88348236467361,0,15.758106410146496,9.15982884283928,3,Yes,Yes,4,Stable,3,LOW RISK
2.4502181117199053,60.95332452272485,63.253224020168936,1,13.59641531535519,8.901324877738542,1,Yes,Yes,4,Stable,1,AT RISK
2.7922520136183944,97.94352973592899,94.39305787378926,0,16.275971501673375,18.87644240013764,8,Yes,Yes,6,Stable,1,LOW RISK
3.436704310614201,94.54974875203223,92.1522946989402,0,15.230747874117386,18.056976656054847,5,No,No,2,Stable,2,LOW RISK
3.283322500082689,95.65934062929664,100.0,0,16.38909356671795,14.594518198748755,4,Yes,Yes,3,Stable,2,LOW RISK
4.0,84.37898084929739,94.2297764742978,0,16.934095295145035,20.345331902312548,6,Yes,No,6,Stable,2,LOW RISK
3.7409733339184896,86.50207809042143,95.4092667162989,0,15.326996115999206,19.30174743773524,4,Yes,No,8,Declining,6,LOW RISK
2.847399272168673,76.97233151357862,69.09599793426838,0,8.371032914273535,13.797800362426168,3,No,No,2,Declining,0,AT RISK
2.6947839378549063,92.87344455369393,81.66462612277823,0,15.284491315595131,19.99634226186377,8,No,No,1,Stable,1,LOW RISK
3.245967087833473,95.8859552068343,96.00117376965355,1,14.341491073693158,15.173757684666109,13,No,Yes,5,Improving,2,LOW RISK
2.808591203853029,86.27979855139839,87.10433472960396,0,14.421925008712176,13.41071212940664,6,Yes,No,1,Stable,3,LOW RISK
2.2644127796706655,86.2715024796344,92.0,1,13.14438536666807,13.944909780660508,6,No,No,4,Declining,1,AT RISK
2.180513463460693,75.91310320819443,89.01634618629973,1,13.846182763280279,6.786123863706893,1,Yes,No,3,Improving,0,AT RISK
3.8233697947398353,92.29462580911292,91.40713306316442,0,13.223459741531967,18.747048219392962,7,Yes,No,7,Improving,2,LOW RISK
3.112249982366886,87.33068825851305,83.6018366937435,1,16.040414441955637,3.8602458685115817,3,Yes,Yes,3,Stable,1,AT RISK
2.748983024846735,90.11844825667323,87.78421932931572,0,14.040012274833826,19.35889543749903,10,No,Yes,8,Declining,5,LOW RISK
1.8721036727864022,74.974006913911,63.818372145409086,1,10.61061410544339,10.793208242499073,3,Yes,No,6,Improving,1,AT RISK
1.890077753890849,72.85926609332407,64.800921554261,2,14.964935247163652,7.152950316907193,2,Yes,Yes,5,Declining,2,AT RISK
3.231741870893856,95.34306458085823,96.95225409721914,1,14.435801428538797,8.0,9,Yes,No,4,Improving,0,LOW RISK
3.3004143406083704,87.82951785417312,96.51537360745122,1,16.694210384015918,20.238308246041868,9,No,Yes,2,Stable,1,LOW RISK
2.9198814371776893,89.1651654574914,93.39812771051585,0,17.79693758523462,16.73293957625741,7,Yes,Yes,6,Stable,2,LOW RISK
2.8203552963787475,83.62877693747156,79.34376562840048,1,12.996213742629886,10.901058316790396,8,No,No,2,Declining,0,AT RISK
1.7074978877728035,59.21843222216325,43.30013185400119,1,10.983911171416699,5.639271724606913,0,No,Yes,5,Stable,0,HIGH RISK
2.4898968478328696,90.0,84.68687353658908,0,15.91822679345945,9.405631844344963,2,Yes,No,3,Declining,2,AT RISK
3.8014131591568097,98.52795092007882,85.57655415121127,0,16.495640633241802,10.852217074640606,4,No,Yes,7,Stable,3,LOW RISK
2.5950088234782713,73.25508874482188,84.88884620965061,0,11.912016669505517,9.7237483208612,2,Yes,No,7,Declining,0,AT RISK
3.1692914677726667,89.05293233600503,87.78803088427647,0,13.778107810244341,20.01085956709303,4,Yes,Yes,3,Improving,1,LOW RISK
2.343927522555657,64.65840827629054,76.68811197182042,2,11.345162050206431,14.273254945279849,3,No,No,5,Declining,1,AT RISK
3.3923935168389243,87.42494175125202,89.64112664859084,2,13.529608235553734,9.898327666718082,5,Yes,No,2,Stable,2,LOW RISK
2.720946973158352,60.55646791654558,74.41819347895338,1,9.051637094824349,16.52973336362173,4,Yes,Yes,5,Declining,1,AT RISK
2.3286500321566908,82.96613183462053,70.4161203182268,2,9.236802059596398,12.04607438690332,2,No,Yes,4,Stable,1,AT RISK
2.2001669438752645,86.16126282081505,83.24914669218543,0,15.302632820119813,15.467917710560513,6,Yes,No,6,Stable,0,AT RISK
3.434818827295268,80.2259690817392,100.0,0,14.722438916008795,18.6124079717373,9,No,No,4,Stable,3,LOW RISK
2.4532960215899244,88.42666517856348,78.0596549918302,1,12.2853193625522,8.214825683790421,4,No,Yes,8,Declining,1,AT RISK
2.990476039891922,74.73759705463954,63.43418564422766,3,12.69874735444169,11.021831377125256,6,Yes,Yes,4,Improving,4,AT RISK
3.5445582422033657,96.7225963474834,97.54786072356562,0,12.899370659503848,17.33788739458669,5,Yes,No,1,Stable,4,LOW RISK
3.8575016172827716,80.27487477948961,86.84547412075686,0,17.569001569257853,8.0,14,Yes,No,8,Stable,1,LOW RISK
1.9094981668594888,72.80977629021325,52.18453757326393,5,10.323939438655128,4.751484864726195,1,Yes,No,3,Declining,1,HIGH RISK
1.3703356784807497,67.95676949704503,47.03006056304198,1,10.105675919043433,6.0448587430004554,1,Yes,Yes,6,Declining,1,HIGH RISK
2.5155458763968457,86.03527446193259,83.07986493267576,0,14.260867183208882,17.752639664157268,11,Yes,No,6,Improving,2,LOW RISK
3.2115846777526706,100.0,87.38672763782932,0,13.190999698391295,21.345314877341824,7,Yes,Yes,7,Improving,2,LOW RISK
2.604361351634633,51.838188703994476,86.1247670396201,0,9.077252438266939,13.424948773985154,2,No,No,5,Declining,1,AT RISK
3.159913249136482,89.5665156614723,93.51719466344217,1,15.80576764143864,13.449250173797065,12,Yes,Yes,2,Declining,4,LOW RISK
3.396810943473353,87.49879118410155,94.52016280885165,0,17.386528958662677,11.449580330173312,2,No,No,2,Improving,1,LOW RISK
3.2058545808683583,88.57598792492797,100.0,0,17.642533396188288,20.653790916606045,10,No,Yes,7,Improving,0,LOW RISK
3.4232834873784,88.19822863291323,98.20248344766655,1,14.864812888513484,23.6057160090643,7,Yes,Yes,4,Stable,1,LOW RISK
2.487359858164309,73.8475881278844,87.89792579761827,2,14.61511335857183,12.151678484984002,6,Yes,Yes,3,Declining,1,AT RISK
2.2045378413553065,82.00436677296692,76.69017527771541,2,7.903883687794568,3.0,1,Yes,Yes,7,Stable,2,AT RISK
3.355068780123668,85.46291341017807,98.78196727936665,0,14.201531601105314,15.629961739148278,5,Yes,No,6,Improving,1,LOW RISK
